Study Name,Study Comment
cnn_optimization_v1,Imbalanced full dataset. Optimizing learning rate, batch size, and number of filters for the CNN model. No cross-validation used. 90-10 split for training and testing.
cnn_optimization_v3_undersampled_weighted_stratified,Undersampled pop and rock to 2000 samples. Optimizing learning rate, batch size, and number of filters for the CNN model. No cross-validation used. 90-5-5 split for training and validation and testing. Stratified split used. WeightedRandomSampler used for training.
resnet_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_rnn_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_rnn_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training.
resnet_lstm_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. LSTM+ResNet model.
resnet_lstm_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. LSTM+ResNet model.
resnet_lstm_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. LSTM+ResNet model.
resnet_lstm_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. LSTM+ResNet model.
resnet_lstm_hybrid_optimization_v1_weighted_stratified,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. LSTM+ResNet model.
resnet_optimization_v1_weighted_stratified_alphabetical,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. Labels are sorted alphabetically.
resnet_optimization_v1_weighted_stratified_alphabetical_normalized,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. Labels are sorted alphabetically.
resnet_optimization_v1_weighted_stratified_alphabetical_normalized,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. Labels are sorted alphabetically.
resnet_optimization_v1_weighted_stratified_alphabetical_normalized,Full dataset. Optimizing learning rate, batch size. No cross-validation used. 90-10 split for training and validation. Stratified split used. WeightedRandomSampler used for training. Labels are sorted alphabetically.
